age,gender,married,dependents,education,self_employed,employment_type,applicant_income,coapplicant_income,credit_score,loan_amount,loan_term_months,existing_loans_count,property_area,loan_status
46,Male,Yes,0,Graduate,Yes,Salaried,31168,12074,531,164,120,0,Rural,Rejected
36,Male,No,2,Not Graduate,No,Salaried,94199,31042,672,47,360,1,Urban,Approved
53,Male,No,2,Graduate,Yes,Salaried,21269,0,682,68,120,1,Semiurban,Approved
42,Male,Yes,0,Graduate,No,Salaried,67277,15958,681,165,240,2,Semiurban,Approved
38,Male,Yes,0,Graduate,No,Salaried,60514,17217,498,67,240,1,Semiurban,Rejected
38,Male,No,0,Graduate,No,Salaried,32449,0,552,116,240,0,Urban,Approved
29,Male,Yes,0,Graduate,Yes,Salaried,35723,29172,703,64,60,2,Rural,Approved
24,Male,No,0,Graduate,No,Self-Employed,35659,6619,736,138,240,0,Semiurban,Approved
42,Female,Yes,0,Graduate,No,Business,39774,0,498,235,360,0,Semiurban,Rejected
55,Male,Yes,0,Graduate,No,Salaried,26977,0,565,99,180,0,Rural,Rejected
23,Male,Yes,3,Graduate,No,Salaried,29317,0,772,133,240,0,Rural,Approved
54,Female,No,0,Graduate,No,Salaried,30406,0,570,89,120,0,Rural,Rejected
53,Female,No,2,Graduate,No,Business,30895,0,679,92,360,0,Urban,Rejected
31,Female,Yes,0,Graduate,No,Salaried,31089,11534,561,89,120,0,Urban,Rejected
45,Male,Yes,0,Not Graduate,No,Salaried,11844,0,755,199,120,0,Semiurban,Approved
27,Female,Yes,3,Not Graduate,Yes,Business,38133,18860,498,66,120,2,Urban,Rejected
50,Male,Yes,0,Graduate,No,Salaried,27897,0,653,114,360,1,Semiurban,Rejected
48,Male,No,1,Graduate,Yes,Salaried,14280,0,765,165,180,1,Semiurban,Approved
34,Male,Yes,3,Graduate,No,Business,30485,25439,735,212,120,1,Semiurban,Rejected
23,Male,Yes,1,Graduate,Yes,Business,30017,0,638,167,120,1,Urban,Rejected
58,Male,Yes,0,Not Graduate,No,Salaried,68708,0,617,130,360,0,Rural,Approved
38,Male,No,0,Graduate,No,Salaried,27733,7426,659,101,60,2,Semiurban,Approved
55,Female,Yes,0,Graduate,No,Salaried,50711,0,564,213,180,0,Semiurban,Rejected
47,Male,No,0,Graduate,No,Salaried,72505,0,671,87,180,0,Semiurban,Approved
51,Male,Yes,0,Graduate,No,Salaried,26528,11541,673,88,240,2,Urban,Rejected
50,Male,Yes,2,Not Graduate,Yes,Salaried,35463,0,642,264,240,0,Semiurban,Approved
28,Male,No,1,Graduate,No,Self-Employed,86193,12218,770,161,240,0,Urban,Approved
35,Male,Yes,0,Not Graduate,Yes,Self-Employed,40721,15899,584,164,60,2,Semiurban,Rejected
39,Male,No,0,Graduate,No,Business,43777,0,527,181,180,1,Urban,Rejected
40,Male,Yes,1,Graduate,No,Self-Employed,29625,0,633,128,60,0,Urban,Rejected
22,Female,No,3,Not Graduate,Yes,Salaried,51202,0,691,65,180,3,Urban,Approved
42,Female,No,0,Graduate,No,Salaried,35603,0,670,152,180,2,Urban,Rejected
27,Male,No,0,Graduate,No,Salaried,14530,0,666,133,180,2,Rural,Approved
49,Male,Yes,2,Not Graduate,No,Salaried,30406,8567,579,87,360,0,Rural,Rejected
47,Female,No,2,Not Graduate,No,Salaried,20099,0,592,78,360,2,Urban,Rejected
56,Female,No,3,Graduate,Yes,Self-Employed,38412,0,636,131,120,1,Urban,Approved
50,Male,Yes,0,Graduate,Yes,Salaried,22962,14588,629,68,240,1,Rural,Rejected
35,Female,Yes,0,Not Graduate,No,Salaried,46123,4010,779,125,240,0,Urban,Approved
58,Female,No,0,Graduate,No,Salaried,37137,0,704,118,360,1,Semiurban,Approved
37,Female,Yes,0,Graduate,No,Business,19458,0,632,127,60,0,Urban,Rejected
33,Male,No,2,Graduate,No,Self-Employed,28388,0,779,164,180,2,Semiurban,Approved
56,Male,No,0,Graduate,No,Salaried,49527,0,720,183,180,1,Rural,Rejected
35,Male,Yes,1,Not Graduate,Yes,Salaried,64473,0,558,94,120,1,Urban,Rejected
23,Male,Yes,3,Graduate,No,Business,23128,0,388,207,180,0,Rural,Rejected
39,Male,Yes,3,Not Graduate,No,Salaried,20979,0,561,120,120,0,Rural,Rejected
52,Male,Yes,1,Graduate,No,Self-Employed,96326,0,734,323,60,1,Rural,Rejected
28,Male,No,3,Graduate,Yes,Self-Employed,36139,0,760,100,240,2,Rural,Approved
39,Male,Yes,0,Graduate,No,Self-Employed,38015,0,531,60,60,1,Rural,Rejected
26,Female,Yes,0,Graduate,No,Salaried,25092,11668,739,204,120,0,Semiurban,Approved
47,Male,No,0,Not Graduate,No,Business,40441,0,736,166,180,0,Rural,Approved
39,Male,Yes,3,Graduate,No,Salaried,85609,0,806,245,180,0,Urban,Approved
33,Female,No,3,Graduate,No,Salaried,41241,20502,766,157,240,1,Semiurban,Approved
29,Female,Yes,0,Graduate,No,Salaried,61851,9100,802,433,360,0,Semiurban,Approved
43,Female,Yes,0,Graduate,No,Salaried,36846,0,724,122,180,0,Urban,Approved
47,Female,Yes,0,Graduate,No,Salaried,21744,11606,721,227,120,0,Urban,Approved
57,Female,No,0,Graduate,No,Self-Employed,25806,10221,650,103,120,1,Urban,Rejected
38,Male,No,2,Graduate,No,Business,20767,0,754,172,180,1,Semiurban,Approved
27,Male,No,0,Graduate,No,Salaried,40493,7481,560,188,180,0,Urban,Rejected
53,Male,No,2,Graduate,No,Self-Employed,66966,11647,668,204,360,1,Urban,Approved
45,Male,No,1,Graduate,No,Business,39360,0,729,198,180,1,Urban,Approved
48,Female,No,0,Graduate,No,Salaried,31136,16180,807,27,180,0,Semiurban,Approved
24,Male,Yes,0,Graduate,No,Self-Employed,24469,0,637,130,360,0,Urban,Rejected
33,Male,No,3,Not Graduate,No,Business,43379,8581,767,101,240,0,Urban,Approved
50,Male,Yes,1,Graduate,No,Self-Employed,19554,0,662,111,240,1,Urban,Approved
53,Male,No,0,Graduate,No,Salaried,20598,14828,769,117,180,0,Semiurban,Approved
37,Male,Yes,0,Graduate,Yes,Business,56959,0,608,219,120,2,Urban,Rejected
52,Male,Yes,3,Not Graduate,No,Self-Employed,31607,0,745,149,180,1,Rural,Approved
53,Female,No,2,Graduate,No,Salaried,31297,0,671,104,120,1,Urban,Approved
36,Male,Yes,2,Graduate,Yes,Salaried,33372,0,573,64,180,3,Urban,Rejected
56,Female,Yes,1,Not Graduate,No,Salaried,52205,0,666,289,360,0,Semiurban,Approved
32,Male,No,2,Graduate,No,Salaried,39449,16650,799,97,180,1,Rural,Approved
30,Male,Yes,0,Graduate,No,Salaried,25046,0,588,126,60,0,Semiurban,Rejected
47,Male,Yes,1,Graduate,No,Salaried,25501,0,546,391,60,0,Urban,Rejected
45,Female,Yes,0,Graduate,No,Self-Employed,32940,0,716,98,360,1,Semiurban,Approved
26,Male,Yes,1,Not Graduate,No,Self-Employed,42239,23578,529,117,120,0,Semiurban,Rejected
53,Female,Yes,3,Graduate,No,Salaried,35676,0,821,151,180,2,Semiurban,Approved
28,Male,No,3,Graduate,Yes,Salaried,34124,0,818,60,240,1,Rural,Approved
52,Male,No,0,Not Graduate,No,Salaried,37166,0,773,57,120,1,Rural,Approved
21,Female,No,1,Not Graduate,No,Salaried,35664,0,679,106,240,1,Semiurban,Approved
52,Male,No,2,Graduate,No,Self-Employed,24583,11495,830,107,60,2,Urban,Approved
51,Male,Yes,3,Graduate,No,Salaried,63166,0,801,144,240,0,Semiurban,Approved
51,Female,No,2,Graduate,Yes,Business,28534,9857,632,82,60,1,Rural,Approved
46,Male,Yes,0,Not Graduate,No,Salaried,38739,0,809,167,120,0,Rural,Approved
39,Male,Yes,0,Not Graduate,No,Salaried,12963,0,598,46,120,0,Urban,Rejected
48,Male,No,2,Graduate,No,Business,32611,21192,662,130,360,0,Urban,Approved
31,Male,No,2,Graduate,No,Salaried,20957,16885,519,161,180,0,Urban,Approved
51,Female,Yes,1,Graduate,No,Salaried,22259,0,693,158,240,0,Rural,Approved
42,Female,No,1,Not Graduate,No,Salaried,121917,0,653,124,180,1,Semiurban,Rejected
38,Male,Yes,0,Graduate,No,Self-Employed,41141,17006,639,97,240,1,Urban,Approved
40,Female,Yes,0,Graduate,No,Salaried,67038,14067,665,122,180,2,Urban,Approved
43,Male,Yes,2,Graduate,Yes,Self-Employed,55695,26049,628,249,180,1,Urban,Approved
22,Male,Yes,0,Graduate,Yes,Self-Employed,59375,0,684,100,240,2,Rural,Approved
26,Male,Yes,1,Graduate,No,Business,32875,20441,796,219,120,2,Semiurban,Approved
30,Female,Yes,1,Not Graduate,Yes,Self-Employed,81081,0,584,237,360,2,Urban,Rejected
25,Male,Yes,2,Graduate,No,Self-Employed,55456,0,758,56,360,0,Semiurban,Approved
38,Male,Yes,0,Graduate,No,Self-Employed,37074,0,699,126,60,0,Semiurban,Approved
47,Male,No,1,Graduate,No,Salaried,41425,0,714,82,360,0,Semiurban,Approved
46,Female,Yes,0,Not Graduate,No,Self-Employed,33916,0,677,63,120,0,Rural,Rejected
39,Male,No,0,Graduate,No,Self-Employed,37277,0,615,200,240,2,Urban,Rejected
54,Male,Yes,0,Graduate,Yes,Salaried,35532,0,720,170,240,1,Urban,Approved
43,Female,Yes,0,Graduate,No,Self-Employed,43948,0,727,153,120,2,Urban,Rejected
24,Male,No,3,Graduate,No,Salaried,86681,0,608,78,120,0,Semiurban,Rejected
50,Male,Yes,3,Graduate,No,Salaried,19878,4335,560,149,240,2,Rural,Rejected
43,Male,Yes,0,Not Graduate,No,Salaried,64291,0,688,70,180,0,Urban,Approved
45,Male,Yes,2,Graduate,No,Salaried,30209,8362,748,140,180,0,Rural,Approved
43,Male,Yes,0,Graduate,Yes,Salaried,68517,0,770,96,240,2,Semiurban,Approved
42,Female,Yes,1,Graduate,No,Salaried,30739,12675,788,227,120,0,Rural,Approved
24,Male,Yes,2,Not Graduate,No,Salaried,44640,0,713,112,60,1,Semiurban,Rejected
42,Male,Yes,1,Graduate,Yes,Salaried,33543,0,656,151,360,0,Urban,Approved
52,Female,Yes,0,Graduate,No,Salaried,15286,0,680,151,240,2,Rural,Rejected
32,Male,Yes,0,Graduate,No,Salaried,86638,0,568,129,240,1,Rural,Rejected
44,Male,Yes,0,Not Graduate,Yes,Business,22666,8438,619,142,120,2,Semiurban,Rejected
22,Female,No,3,Not Graduate,No,Self-Employed,37871,5596,675,156,360,1,Rural,Rejected
34,Male,Yes,1,Graduate,No,Salaried,21457,77803,656,86,120,1,Urban,Rejected
38,Female,Yes,0,Graduate,Yes,Salaried,18611,0,688,164,120,1,Semiurban,Approved
59,Female,Yes,0,Graduate,Yes,Salaried,32779,32922,556,207,120,1,Urban,Rejected
29,Male,Yes,3,Not Graduate,No,Salaried,26991,11857,576,164,240,1,Semiurban,Rejected
31,Male,Yes,0,Not Graduate,No,Salaried,20244,8536,750,112,120,0,Urban,Approved
36,Male,Yes,1,Not Graduate,Yes,Self-Employed,35678,0,605,147,120,1,Urban,Rejected
59,Male,Yes,1,Graduate,No,Self-Employed,17310,0,619,112,180,0,Urban,Approved
54,Male,No,0,Graduate,No,Salaried,38667,26400,689,127,180,0,Semiurban,Approved
22,Male,No,0,Graduate,No,Self-Employed,34076,0,596,74,120,1,Rural,Rejected
30,Female,Yes,0,Not Graduate,No,Salaried,10507,0,780,268,240,1,Urban,Approved
53,Female,Yes,0,Graduate,Yes,Self-Employed,27958,6878,567,353,180,1,Semiurban,Rejected
23,Female,Yes,1,Graduate,No,Business,45899,7956,680,94,120,3,Urban,Rejected
54,Male,No,2,Graduate,No,Salaried,21338,0,613,199,60,0,Semiurban,Approved
31,Male,No,0,Graduate,No,Self-Employed,46906,13840,694,278,360,3,Urban,Rejected
56,Male,Yes,0,Not Graduate,Yes,Self-Employed,45087,16202,635,83,240,1,Semiurban,Rejected
32,Male,Yes,0,Graduate,No,Salaried,21832,0,678,46,60,0,Rural,Approved
37,Female,Yes,0,Graduate,No,Salaried,36093,0,790,287,180,1,Semiurban,Approved
46,Male,No,2,Graduate,No,Self-Employed,54858,0,618,134,60,0,Semiurban,Approved
25,Male,No,2,Graduate,No,Salaried,23430,0,617,104,180,3,Semiurban,Approved
42,Female,Yes,2,Graduate,No,Salaried,32764,0,652,138,240,0,Urban,Approved
40,Male,Yes,0,Graduate,No,Self-Employed,64545,13091,813,112,60,0,Urban,Approved
51,Male,Yes,1,Graduate,Yes,Salaried,23652,0,672,590,360,1,Urban,Rejected
59,Male,No,0,Graduate,No,Salaried,45687,11624,791,103,180,0,Semiurban,Approved
46,Male,No,3,Graduate,No,Business,21171,12170,664,158,120,0,Rural,Rejected
36,Female,Yes,1,Not Graduate,No,Salaried,33507,0,787,256,120,0,Semiurban,Approved
36,Male,Yes,3,Graduate,No,Salaried,45404,15832,717,256,120,2,Semiurban,Rejected
37,Female,Yes,0,Graduate,No,Self-Employed,10913,17209,730,232,240,0,Urban,Approved
52,Female,Yes,0,Graduate,No,Salaried,27801,14667,551,109,180,1,Urban,Approved
33,Female,No,2,Graduate,No,Self-Employed,45011,0,537,124,240,0,Rural,Approved
27,Male,Yes,0,Graduate,No,Self-Employed,40657,0,776,45,120,2,Urban,Approved
34,Male,No,1,Graduate,No,Salaried,27968,14855,775,129,120,2,Semiurban,Rejected
21,Female,Yes,0,Graduate,No,Salaried,20904,22015,898,137,180,2,Urban,Approved
25,Male,Yes,3,Graduate,No,Business,49723,0,546,195,180,0,Urban,Rejected
24,Male,Yes,0,Not Graduate,No,Business,30909,0,724,330,60,0,Urban,Rejected
51,Female,Yes,3,Graduate,No,Salaried,47699,4298,588,192,60,2,Rural,Rejected
49,Male,Yes,0,Graduate,No,Salaried,43919,21147,613,229,360,0,Urban,Rejected
48,Female,No,0,Not Graduate,No,Salaried,29036,0,635,133,240,0,Semiurban,Approved
39,Female,Yes,0,Graduate,No,Business,62086,5149,714,255,60,2,Urban,Rejected
48,Female,Yes,0,Graduate,No,Self-Employed,26980,0,620,135,240,0,Semiurban,Rejected
27,Male,Yes,3,Graduate,No,Salaried,65856,39691,683,238,180,0,Semiurban,Approved
56,Female,Yes,3,Graduate,No,Business,70308,0,755,201,240,0,Semiurban,Approved
40,Male,No,3,Graduate,Yes,Salaried,61393,0,782,163,360,0,Urban,Approved
57,Female,No,3,Graduate,Yes,Salaried,33181,0,742,62,60,3,Urban,Approved
26,Female,Yes,1,Not Graduate,Yes,Self-Employed,129773,0,721,232,360,0,Rural,Approved
40,Female,No,0,Not Graduate,Yes,Salaried,39180,15047,667,162,120,0,Semiurban,Approved
48,Male,No,2,Not Graduate,No,Self-Employed,40967,10637,629,191,120,0,Urban,Approved
40,Male,No,0,Graduate,No,Salaried,35917,0,729,157,180,0,Semiurban,Approved
38,Male,Yes,2,Graduate,Yes,Self-Employed,20643,0,585,171,240,1,Urban,Rejected
27,Male,Yes,0,Not Graduate,No,Business,69393,0,691,257,120,1,Semiurban,Approved
35,Male,Yes,1,Not Graduate,No,Salaried,27277,33600,583,106,120,1,Semiurban,Rejected
30,Male,No,0,Graduate,No,Salaried,57515,0,676,170,120,1,Urban,Approved
32,Male,No,0,Not Graduate,No,Self-Employed,64846,15967,585,91,120,0,Semiurban,Rejected
47,Female,Yes,0,Not Graduate,Yes,Salaried,49102,23801,644,179,120,0,Semiurban,Approved
45,Female,Yes,0,Graduate,No,Self-Employed,25694,16336,619,152,120,2,Rural,Rejected
44,Male,No,0,Graduate,Yes,Salaried,30622,0,608,98,360,2,Semiurban,Rejected
35,Female,No,0,Graduate,No,Salaried,9523,0,672,141,240,0,Semiurban,Approved
58,Male,Yes,0,Graduate,No,Business,34261,0,462,101,360,2,Rural,Rejected
24,Male,No,1,Graduate,No,Salaried,54250,0,518,111,120,2,Urban,Rejected
34,Male,Yes,0,Graduate,Yes,Salaried,32249,8327,752,160,60,2,Semiurban,Approved
25,Female,Yes,2,Graduate,No,Salaried,27037,62834,693,154,180,2,Urban,Approved
34,Female,Yes,0,Not Graduate,No,Self-Employed,31292,68263,615,51,180,3,Urban,Approved
58,Female,No,1,Not Graduate,Yes,Business,66682,14404,768,162,180,0,Semiurban,Approved
35,Female,No,0,Graduate,No,Salaried,35342,0,622,115,60,0,Urban,Approved
56,Female,Yes,0,Graduate,No,Salaried,91946,12299,628,109,240,3,Semiurban,Approved
40,Male,Yes,1,Graduate,Yes,Salaried,27300,0,609,76,180,1,Semiurban,Approved
48,Male,Yes,1,Graduate,No,Self-Employed,40482,0,852,131,180,1,Urban,Approved
38,Male,Yes,0,Graduate,Yes,Salaried,29240,0,701,103,180,0,Urban,Approved
31,Female,Yes,0,Graduate,No,Salaried,102462,49340,698,254,60,0,Semiurban,Approved
50,Male,Yes,0,Not Graduate,Yes,Salaried,39730,0,722,56,120,3,Semiurban,Approved
58,Male,Yes,0,Graduate,No,Salaried,105244,16820,513,83,360,0,Rural,Rejected
31,Female,Yes,0,Graduate,No,Self-Employed,29435,10034,627,80,180,1,Urban,Rejected
51,Male,Yes,1,Graduate,Yes,Salaried,77947,0,721,153,60,0,Rural,Approved
31,Female,No,0,Not Graduate,No,Salaried,38523,6619,680,241,120,3,Urban,Rejected
48,Male,Yes,2,Graduate,No,Salaried,55178,0,878,173,120,0,Urban,Approved
51,Female,Yes,0,Graduate,No,Salaried,19735,0,632,78,360,2,Semiurban,Rejected
38,Female,No,0,Graduate,No,Salaried,43226,35445,765,108,240,0,Urban,Approved
49,Male,Yes,0,Graduate,No,Salaried,21278,0,753,90,180,2,Urban,Approved
31,Female,Yes,0,Graduate,Yes,Salaried,41297,8042,693,173,360,0,Urban,Approved
24,Male,Yes,0,Graduate,No,Salaried,16997,0,709,107,180,2,Rural,Approved
24,Male,Yes,2,Graduate,No,Salaried,34647,0,654,66,360,1,Rural,Approved
38,Male,Yes,2,Graduate,No,Self-Employed,62806,12386,502,180,180,0,Rural,Rejected
56,Female,Yes,0,Graduate,Yes,Salaried,47752,29339,711,253,240,0,Urban,Approved
25,Male,Yes,0,Graduate,No,Salaried,19595,14283,719,123,360,1,Semiurban,Approved
38,Male,Yes,2,Graduate,No,Self-Employed,14056,0,733,143,180,1,Rural,Approved
48,Female,Yes,0,Graduate,No,Salaried,46559,19535,686,63,120,0,Urban,Approved
28,Male,Yes,0,Graduate,No,Salaried,80065,0,767,48,120,0,Urban,Approved
49,Male,Yes,2,Not Graduate,No,Self-Employed,22427,69282,602,53,120,2,Urban,Rejected
32,Male,Yes,0,Not Graduate,No,Salaried,103642,0,812,131,120,1,Semiurban,Approved
52,Male,No,0,Graduate,No,Business,36198,20915,591,115,180,1,Semiurban,Approved
43,Female,Yes,0,Graduate,No,Salaried,13639,0,670,176,180,0,Urban,Rejected
42,Male,Yes,1,Graduate,Yes,Business,16640,0,741,122,60,0,Urban,Approved
27,Male,Yes,0,Not Graduate,No,Self-Employed,53368,18020,634,220,360,0,Semiurban,Approved
39,Female,Yes,1,Graduate,No,Salaried,38746,12082,747,208,60,0,Semiurban,Approved
54,Male,No,0,Graduate,No,Salaried,76200,0,649,114,120,2,Urban,Rejected
21,Female,Yes,0,Graduate,No,Self-Employed,19949,0,691,81,60,0,Urban,Rejected
50,Male,Yes,0,Not Graduate,No,Salaried,38532,0,664,52,360,0,Rural,Rejected
40,Female,No,2,Graduate,No,Salaried,36438,8157,628,275,180,0,Semiurban,Rejected
49,Female,No,0,Graduate,No,Business,33809,0,883,84,120,0,Semiurban,Approved
46,Female,No,1,Graduate,No,Self-Employed,29992,0,604,64,120,1,Semiurban,Approved
37,Male,Yes,0,Graduate,No,Business,30292,0,474,143,180,1,Rural,Rejected
33,Male,Yes,0,Graduate,No,Self-Employed,39629,12680,608,64,360,2,Urban,Approved
45,Female,Yes,0,Graduate,No,Self-Employed,42247,6364,692,143,180,0,Urban,Approved
26,Male,Yes,0,Not Graduate,No,Self-Employed,41204,0,646,114,180,2,Urban,Approved
43,Male,Yes,0,Not Graduate,No,Self-Employed,66370,0,772,213,180,3,Rural,Approved
24,Male,No,2,Graduate,No,Business,19918,0,768,204,120,3,Urban,Approved
46,Female,Yes,3,Not Graduate,No,Self-Employed,14679,0,651,233,180,0,Urban,Rejected
45,Female,Yes,2,Graduate,No,Salaried,60384,13503,529,149,180,0,Urban,Rejected
24,Male,Yes,1,Graduate,No,Salaried,22657,0,565,87,240,2,Semiurban,Rejected
50,Female,Yes,0,Graduate,No,Salaried,30039,0,677,80,120,1,Semiurban,Approved
37,Male,Yes,1,Not Graduate,No,Business,26741,0,539,103,120,0,Urban,Approved
51,Male,No,0,Graduate,Yes,Self-Employed,26456,0,647,364,180,2,Urban,Approved
22,Male,Yes,2,Graduate,No,Salaried,17516,0,808,119,240,2,Rural,Approved
27,Male,Yes,2,Graduate,No,Salaried,27316,18996,711,146,180,1,Urban,Approved
40,Male,Yes,0,Graduate,No,Salaried,50245,0,684,287,240,0,Semiurban,Approved
28,Female,Yes,3,Graduate,No,Salaried,36244,0,586,153,240,1,Urban,Rejected
33,Female,Yes,2,Graduate,Yes,Self-Employed,46735,7540,696,92,360,1,Rural,Approved
46,Male,No,0,Graduate,No,Self-Employed,28338,0,657,193,180,0,Semiurban,Approved
26,Male,Yes,3,Graduate,No,Salaried,57035,7983,701,108,360,1,Semiurban,Approved
47,Male,Yes,0,Not Graduate,No,Salaried,28165,16790,745,155,240,0,Urban,Approved
25,Female,No,0,Graduate,No,Salaried,12654,0,761,173,180,0,Urban,Approved
27,Female,Yes,0,Not Graduate,No,Salaried,42545,0,692,105,180,2,Semiurban,Rejected
43,Female,No,1,Not Graduate,No,Business,53300,0,726,147,60,0,Semiurban,Approved
51,Male,Yes,0,Graduate,No,Business,27457,0,634,299,180,0,Rural,Rejected
27,Male,Yes,3,Graduate,No,Self-Employed,66145,0,782,98,240,2,Semiurban,Approved
32,Male,No,0,Graduate,No,Salaried,23734,11211,600,259,360,1,Semiurban,Approved
57,Male,Yes,0,Not Graduate,No,Salaried,50785,0,661,100,180,2,Rural,Rejected
59,Male,Yes,1,Graduate,No,Business,86889,0,791,331,360,0,Semiurban,Approved
43,Male,Yes,0,Graduate,No,Business,36989,0,637,88,120,1,Rural,Rejected
38,Female,No,1,Graduate,No,Salaried,32427,0,559,110,360,0,Urban,Rejected
34,Male,Yes,0,Graduate,No,Self-Employed,34447,11226,643,285,180,0,Urban,Approved
44,Male,Yes,3,Not Graduate,No,Salaried,81973,22200,805,292,240,0,Rural,Approved
44,Female,No,1,Not Graduate,No,Salaried,44418,0,476,202,180,1,Urban,Rejected
32,Male,Yes,0,Graduate,No,Business,106096,0,689,78,360,1,Urban,Approved
21,Female,Yes,0,Graduate,No,Business,41757,0,623,140,60,0,Urban,Approved
26,Male,Yes,0,Graduate,No,Business,26189,9101,665,134,180,2,Semiurban,Approved
58,Female,Yes,3,Graduate,No,Salaried,27126,22005,649,88,360,3,Semiurban,Rejected
37,Male,Yes,1,Graduate,No,Salaried,37452,0,766,190,120,0,Urban,Approved
39,Male,Yes,0,Graduate,No,Business,13087,32864,685,91,180,2,Urban,Approved
39,Female,Yes,0,Not Graduate,No,Self-Employed,28638,0,771,70,180,1,Urban,Approved
51,Male,Yes,2,Graduate,No,Salaried,28958,0,796,60,240,1,Urban,Approved
23,Male,Yes,0,Graduate,Yes,Salaried,40941,9694,683,316,360,0,Urban,Approved
24,Male,No,1,Graduate,No,Salaried,95885,0,648,104,120,1,Urban,Approved
31,Male,Yes,2,Graduate,No,Self-Employed,37325,0,714,105,240,0,Rural,Approved
39,Female,No,0,Graduate,No,Business,13886,10153,731,80,180,1,Semiurban,Rejected
47,Male,No,0,Graduate,No,Salaried,22995,21827,576,266,240,0,Urban,Rejected
40,Male,Yes,0,Graduate,Yes,Salaried,41404,83661,701,67,120,0,Urban,Approved
38,Male,No,0,Not Graduate,No,Salaried,38044,0,657,74,120,1,Urban,Approved
57,Female,No,3,Not Graduate,No,Salaried,81816,0,642,114,180,0,Urban,Approved
27,Male,Yes,1,Graduate,No,Salaried,58691,0,618,133,60,1,Urban,Rejected
43,Male,No,2,Graduate,No,Salaried,57818,0,624,187,240,1,Rural,Rejected
42,Female,Yes,0,Graduate,Yes,Self-Employed,32579,0,793,96,120,0,Semiurban,Approved
39,Male,No,0,Graduate,No,Salaried,62916,34607,647,291,360,2,Semiurban,Approved
52,Female,Yes,1,Not Graduate,No,Self-Employed,23203,10167,783,96,360,0,Urban,Approved
31,Male,Yes,0,Not Graduate,No,Salaried,58932,0,692,81,180,1,Semiurban,Rejected
58,Male,Yes,0,Graduate,No,Salaried,31533,0,578,77,360,0,Rural,Rejected
33,Male,No,0,Not Graduate,No,Salaried,17606,0,697,91,360,0,Urban,Approved
42,Female,Yes,1,Graduate,No,Self-Employed,48855,0,573,75,240,2,Rural,Rejected
41,Male,Yes,1,Graduate,No,Salaried,73041,21121,735,195,180,2,Urban,Approved
54,Male,Yes,0,Graduate,Yes,Salaried,29635,21371,661,81,180,0,Semiurban,Approved
38,Male,Yes,2,Graduate,No,Salaried,79331,0,757,126,240,0,Urban,Approved
32,Male,No,0,Not Graduate,Yes,Salaried,15868,0,809,80,240,1,Semiurban,Approved
21,Male,No,0,Not Graduate,No,Salaried,19962,0,524,75,180,0,Urban,Approved
35,Male,Yes,0,Graduate,No,Salaried,33747,19041,638,234,180,2,Semiurban,Rejected
